,Unnamed: 0,ciclo,Cod.Asign,Asignatura,Cod.Car.Sec,Cod.Curso,Convocatoria,Anho,Semestre,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Primer.Rec,Segundo.Rec,Nota.Final,Asis,4P_60,id_anony,Nota.Prom
303,303,1,2808,FUNDAMENTOS DE MEDIO DE RED,ECA9-OPT  ,13,1,2012,1,0,0,0,0,0,0,0,[0],0.0,,es_184,0.0
304,304,1,2808,FUNDAMENTOS DE MEDIO DE RED,ECA9-OPT  ,13,1,2012,1,1,2012,17,34,0,0,0,[5],1.0,,es_185,5.0
305,305,1,2808,FUNDAMENTOS DE MEDIO DE RED,ECA9-OPT  ,13,1,2012,1,1,2012,24,36,0,0,0,[5],1.0,,es_186,5.0
306,306,1,2808,FUNDAMENTOS DE MEDIO DE RED,ECA9-OPT  ,13,1,2012,1,1,2012,14,36,0,0,0,[5],1.0,,es_187,5.0
307,307,1,2808,FUNDAMENTOS DE MEDIO DE RED,ECA9-OPT  ,13,1,2012,1,1,2012,22,34,0,0,0,[5],1.0,,es_188,5.0
309,309,1,2808,FUNDAMENTOS DE MEDIO DE RED,ECA9-OPT  ,13,1,2012,1,1,2012,24,36,0,0,0,[5],1.0,,es_190,5.0
310,310,1,2808,FUNDAMENTOS DE MEDIO DE RED,ECA9-OPT  ,13,1,2012,1,1,2012,18,36,0,0,0,[5],1.0,,es_191,5.0
311,311,1,2808,FUNDAMENTOS DE MEDIO DE RED,ECA9-OPT  ,13,1,2012,1,1,2012,11,30,0,0,0,[4],1.0,,es_192,4.0
312,312,1,2808,FUNDAMENTOS DE MEDIO DE RED,ECA9-OPT  ,13,1,2012,1,1,2012,5,34,0,0,0,[4],1.0,,es_193,4.0
313,313,1,2808,FUNDAMENTOS DE MEDIO DE RED,ECA9-OPT  ,13,1,2012,1,1,2012,10,34,0,0,0,[5],1.0,,es_194,5.0
314,314,1,2808,FUNDAMENTOS DE MEDIO DE RED,ECA9-OPT  ,13,1,2012,1,1,2012,24,36,0,0,0,[5],1.0,,es_195,5.0
315,315,1,2808,FUNDAMENTOS DE MEDIO DE RED,ECA9-OPT  ,13,1,2012,1,1,2012,19,34,0,0,0,[5],1.0,,es_196,5.0
317,317,1,2808,FUNDAMENTOS DE MEDIO DE RED,ECA9-OPT  ,13,1,2012,1,0,0,0,0,0,0,0,[0],0.0,,es_198,0.0
318,318,1,2808,FUNDAMENTOS DE MEDIO DE RED,ECA9-OPT  ,13,1,2012,1,0,0,12,34,0,0,0,[0],0.0,,es_199,0.0
319,319,1,2808,FUNDAMENTOS DE MEDIO DE RED,ECA9-OPT  ,13,1,2012,1,1,2012,22,32,0,0,0,[5],1.0,,es_200,5.0
321,321,1,2808,FUNDAMENTOS DE MEDIO DE RED,ECA9-OPT  ,13,1,2012,1,1,2012,17,32,0,0,0,[5],1.0,,es_202,5.0
322,322,1,2808,FUNDAMENTOS DE MEDIO DE RED,ECA9-OPT  ,13,1,2012,1,1,2012,18,36,0,0,0,[5],1.0,,es_203,5.0
323,323,1,2808,FUNDAMENTOS DE MEDIO DE RED,ECA9-OPT  ,13,1,2012,1,1,2012,20,36,0,0,0,[5],1.0,,es_204,5.0
324,324,1,2810,SIST.DE COMUNICACIONES CELULARES 1,ECA9-OPT  ,13,1,2012,1,1,2012,23,36,0,0,0,[5],1.0,,es_205,5.0
325,325,1,2810,SIST.DE COMUNICACIONES CELULARES 1,ECA9-OPT  ,13,1,2012,1,1,2012,22,36,0,0,0,[5],1.0,,es_206,5.0
326,326,1,2810,SIST.DE COMUNICACIONES CELULARES 1,ECA9-OPT  ,13,1,2012,1,1,2012,18,36,0,0,0,[5],1.0,,es_207,5.0
329,329,1,2810,SIST.DE COMUNICACIONES CELULARES 1,ECA9-OPT  ,13,1,2012,1,0,0,0,0,0,0,0,[0],0.0,,es_210,0.0
330,330,1,2810,SIST.DE COMUNICACIONES CELULARES 1,ECA9-OPT  ,13,1,2012,1,0,0,22,36,0,0,0,[0],0.0,,es_211,0.0
331,331,1,2810,SIST.DE COMUNICACIONES CELULARES 1,ECA9-OPT  ,13,1,2012,1,1,2012,22,36,0,0,0,[5],1.0,,es_212,5.0
333,333,1,2810,SIST.DE COMUNICACIONES CELULARES 1,ECA9-OPT  ,13,1,2012,1,1,2012,22,36,0,0,0,[5],1.0,,es_214,5.0
334,334,1,2810,SIST.DE COMUNICACIONES CELULARES 1,ECA9-OPT  ,13,1,2012,1,1,2012,23,36,0,0,0,[5],1.0,,es_215,5.0
336,336,1,2810,SIST.DE COMUNICACIONES CELULARES 1,ECA9-OPT  ,13,1,2012,1,1,2012,22,36,0,0,0,[5],1.0,,es_201,5.0
337,337,1,2814,MICROELECTRONICA,ECA9-OPT  ,13,1,2012,1,1,2012,22,28,8,0,0,[5],1.0,,es_217,5.0
338,338,1,2814,MICROELECTRONICA,ECA9-OPT  ,13,1,2012,1,1,2012,23,29,10,0,0,[5],1.0,,es_186,5.0
339,339,1,2814,MICROELECTRONICA,ECA9-OPT  ,13,1,2012,1,1,2012,23,33,9,0,0,[5],1.0,,es_218,5.0
340,340,1,2814,MICROELECTRONICA,ECA9-OPT  ,13,1,2012,1,1,2012,23,28,10,0,0,[5],1.0,,es_219,5.0
341,341,1,2814,MICROELECTRONICA,ECA9-OPT  ,13,1,2012,1,1,2012,21,29,9,0,0,[5],1.0,,es_187,5.0
342,342,1,2814,MICROELECTRONICA,ECA9-OPT  ,13,1,2012,1,1,2012,21,29,9,0,0,[5],1.0,,es_194,5.0
343,343,1,2814,MICROELECTRONICA,ECA9-OPT  ,13,1,2012,1,1,2012,21,28,10,0,0,[5],1.0,,es_220,5.0
344,344,1,2814,MICROELECTRONICA,ECA9-OPT  ,13,1,2012,1,1,2012,22,32,8,0,0,[5],1.0,,es_221,5.0
345,345,1,2814,MICROELECTRONICA,ECA9-OPT  ,13,1,2012,1,0,0,0,0,0,0,0,[0],1.0,,es_222,0.0
346,346,1,2814,MICROELECTRONICA,ECA9-OPT  ,13,1,2012,1,1,2012,22,30,10,0,0,[5],1.0,,es_223,5.0
347,347,1,2814,MICROELECTRONICA,ECA9-OPT  ,13,1,2012,1,1,2012,20,31,10,0,0,[5],1.0,,es_224,5.0
348,348,1,2814,MICROELECTRONICA,ECA9-OPT  ,13,1,2012,1,0,2012,19,5,9,0,0,[0],1.0,,es_225,0.0
349,349,1,2814,MICROELECTRONICA,ECA9-OPT  ,13,1,2012,1,1,2012,24,33,10,0,0,[5],1.0,,es_226,5.0
350,350,1,2814,MICROELECTRONICA,ECA9-OPT  ,13,1,2012,1,1,2012,22,30,8,0,0,[5],1.0,,es_227,5.0
351,351,1,2814,MICROELECTRONICA,ECA9-OPT  ,13,1,2012,1,0,2012,19,9,9,0,0,[0],1.0,,es_228,0.0
352,352,1,2814,MICROELECTRONICA,ECA9-OPT  ,13,1,2012,1,1,2012,22,36,10,0,0,[5],1.0,,es_229,5.0
353,353,1,2814,MICROELECTRONICA,ECA9-OPT  ,13,1,2012,1,1,2012,22,31,9,0,0,[5],1.0,,es_230,5.0
354,354,1,2815,INSTRUMENTACION Y MEDICIONES ELECTRICAS,ECA9-OPT  ,13,1,2012,1,0,0,12,0,0,0,0,[0],0.0,,es_206,0.0
356,356,1,2815,INSTRUMENTACION Y MEDICIONES ELECTRICAS,ECA9-OPT  ,13,1,2012,1,1,2012,22,25,0,0,0,[5],1.0,,es_231,5.0
357,357,1,2815,INSTRUMENTACION Y MEDICIONES ELECTRICAS,ECA9-OPT  ,13,1,2012,1,1,2012,22,27,0,0,0,[5],1.0,,es_232,5.0
358,358,1,2815,INSTRUMENTACION Y MEDICIONES ELECTRICAS,ECA9-OPT  ,13,1,2012,1,1,2012,17,25,0,0,0,[4],1.0,,es_233,4.0
359,359,1,2815,INSTRUMENTACION Y MEDICIONES ELECTRICAS,ECA9-OPT  ,13,1,2012,1,1,2012,19,24,0,0,0,[5],1.0,,es_234,5.0
360,360,1,2815,INSTRUMENTACION Y MEDICIONES ELECTRICAS,ECA9-OPT  ,13,1,2012,1,1,2012,24,36,0,0,0,[5],1.0,,es_191,5.0
361,361,1,2815,INSTRUMENTACION Y MEDICIONES ELECTRICAS,ECA9-OPT  ,13,1,2012,1,0,0,9,0,0,0,0,[0],1.0,,es_209,0.0
