,Unnamed: 0,ciclo,Cod.Asign,Asignatura,Cod.Car.Sec,Cod.Curso,Convocatoria,Anho,Semestre,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Primer.Rec,Segundo.Rec,Nota.Final,Asis,4P_60,id_anony,Nota.Prom
2625,2625,1,5234,PASANTIAS,IND-PLS09 ,10,1,2012,1,0,0,0,0,0,0,0,[0],0.0,,es_854,0.0
2626,2626,1,5234,PASANTIAS,IND-PLS09 ,10,1,2012,1,1,2012,0,0,0,0,0,[5],0.0,,es_242,5.0
2627,2627,1,5234,PASANTIAS,IND-PLS09 ,10,1,2012,1,1,2012,0,0,0,0,0,[5],0.0,,es_251,5.0
2628,2628,1,5234,PASANTIAS,IND-PLS09 ,10,1,2012,1,1,2012,0,0,0,0,0,[5],0.0,,es_244,5.0
2629,2629,1,5234,PASANTIAS,IND-PLS09 ,10,1,2012,1,1,2012,0,0,0,0,0,[4],0.0,,es_855,4.0
2630,2630,1,5234,PASANTIAS,IND-PLS09 ,10,1,2012,1,1,2012,0,0,0,0,0,[5],0.0,,es_245,5.0
2631,2631,1,5234,PASANTIAS,IND-PLS09 ,10,1,2012,1,0,0,0,0,0,0,0,[0],0.0,,es_851,0.0
2632,2632,1,5234,PASANTIAS,IND-PLS09 ,10,1,2012,1,1,2012,0,0,0,0,0,[5],0.0,,es_856,5.0
2633,2633,1,5234,PASANTIAS,IND-PLS09 ,10,1,2012,1,0,0,0,0,0,0,0,[0],0.0,,es_250,0.0
2634,2634,1,5234,PASANTIAS,IND-PLS09 ,10,1,2012,1,0,0,0,0,0,0,0,[0],0.0,,es_852,0.0
2635,2635,1,5234,PASANTIAS,IND-PLS09 ,10,1,2012,1,0,0,0,0,0,0,0,[0],0.0,,es_857,0.0
2636,2636,1,5234,PASANTIAS,IND-PLS09 ,10,1,2012,1,1,2012,0,0,0,0,0,[5],0.0,,es_106,5.0
2637,2637,1,5234,PASANTIAS,IND-PLS09 ,10,1,2012,1,1,2012,0,0,0,0,0,[5],0.0,,es_724,5.0
2638,2638,1,5234,PASANTIAS,IND-PLS09 ,10,1,2012,1,0,0,0,0,0,0,0,[0],0.0,,es_252,0.0
4932,4932,1,7060,CONTABILIDAD FINANCIERA,IND-PLS09 ,6,1,2012,1,0,0,17,11,5,24,0,[0],1.0,,es_1082,0.0
4933,4933,1,7060,CONTABILIDAD FINANCIERA,IND-PLS09 ,6,1,2012,1,0,0,13,0,4,0,0,[0],1.0,,es_1083,0.0
4934,4934,1,7060,CONTABILIDAD FINANCIERA,IND-PLS09 ,6,1,2012,1,0,0,17,8,8,27,0,[0],1.0,,es_689,0.0
4935,4935,1,7060,CONTABILIDAD FINANCIERA,IND-PLS09 ,6,1,2012,1,0,0,7,17,7,20,0,[0],1.0,,es_269,0.0
4936,4936,1,7060,CONTABILIDAD FINANCIERA,IND-PLS09 ,6,1,2012,1,0,0,16,14,4,0,0,[0],1.0,,es_1084,0.0
4937,4937,1,7060,CONTABILIDAD FINANCIERA,IND-PLS09 ,6,1,2012,1,0,2012,17,22,5,0,0,[0],1.0,,es_277,0.0
4938,4938,1,7060,CONTABILIDAD FINANCIERA,IND-PLS09 ,6,1,2012,1,0,2012,12,6,8,36,0,[1],1.0,,es_515,1.0
4939,4939,1,7060,CONTABILIDAD FINANCIERA,IND-PLS09 ,6,1,2012,1,0,2012,18,11,8,21,0,[1],1.0,,es_1085,1.0
4940,4940,1,7060,CONTABILIDAD FINANCIERA,IND-PLS09 ,6,1,2012,1,0,0,0,0,0,0,0,[0],0.0,,es_422,0.0
4941,4941,1,7060,CONTABILIDAD FINANCIERA,IND-PLS09 ,6,1,2012,1,1,2012,20,20,8,0,0,[2],1.0,,es_298,2.0
4942,4942,1,7060,CONTABILIDAD FINANCIERA,IND-PLS09 ,6,1,2012,1,0,0,0,0,0,0,0,[0],0.0,,es_536,0.0
4943,4943,1,7060,CONTABILIDAD FINANCIERA,IND-PLS09 ,6,1,2012,1,0,0,0,0,0,0,0,[0],0.0,,es_538,0.0
