,Unnamed: 0,ciclo,Cod.Asign,Asignatura,Cod.Car.Sec,Cod.Curso,Convocatoria,Anho,Semestre,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Primer.Rec,Segundo.Rec,Nota.Final,Asis,4P_60,id_anony,Nota.Prom
28,28,1,2403,INTRODUCCION A LA SIMULACION,MCT9-OPT  ,13,1,2012,1,1,2012,22,29,5,0,0,[5],1.0,,es_26,5.0
29,29,1,2403,INTRODUCCION A LA SIMULACION,MCT9-OPT  ,13,1,2012,1,1,2012,22,34,5,0,0,[5],1.0,,es_27,5.0
31,31,1,2403,INTRODUCCION A LA SIMULACION,MCT9-OPT  ,13,1,2012,1,1,2012,7,31,5,0,0,[5],1.0,,es_29,5.0
32,32,1,2403,INTRODUCCION A LA SIMULACION,MCT9-OPT  ,13,1,2012,1,0,2012,21,31,5,0,0,[0],1.0,,es_30,0.0
35,35,1,2403,INTRODUCCION A LA SIMULACION,MCT9-OPT  ,13,1,2012,1,1,2012,16,30,5,0,0,[5],1.0,,es_33,5.0
50,50,1,2403,INTRODUCCION A LA SIMULACION,MCT9-OPT  ,13,1,2012,1,1,2012,12,32,5,0,0,[5],1.0,,es_43,5.0
51,51,1,2403,INTRODUCCION A LA SIMULACION,MCT9-OPT  ,13,1,2012,1,0,0,17,0,5,0,0,[0],1.0,,es_44,0.0
58,58,1,2403,INTRODUCCION A LA SIMULACION,MCT9-OPT  ,13,1,2012,1,1,2012,9,31,5,0,0,[4],1.0,,es_51,4.0
63,63,1,2403,INTRODUCCION A LA SIMULACION,MCT9-OPT  ,13,1,2012,1,1,2012,19,30,5,0,0,[5],1.0,,es_56,5.0
3039,3039,1,5313,SISTEMA DE CONTROL AUTOMATICO 1,MCT-PLS09 ,6,1,2012,1,1,2012,8,21,0,36,0,[5],1.0,,es_892,5.0
3051,3051,1,5313,SISTEMA DE CONTROL AUTOMATICO 1,MCT-PLS09 ,6,1,2012,1,1,2012,15,33,0,0,0,[5],1.0,,es_894,5.0
3053,3053,1,5313,SISTEMA DE CONTROL AUTOMATICO 1,MCT-PLS09 ,6,1,2012,1,0,0,8,7,0,28,0,[0],1.0,,es_896,0.0
3058,3058,1,5313,SISTEMA DE CONTROL AUTOMATICO 1,MCT-PLS09 ,6,1,2012,1,1,2012,8,29,0,50,0,[3],1.0,,es_898,3.0
3070,3070,1,5313,SISTEMA DE CONTROL AUTOMATICO 1,MCT-PLS09 ,6,1,2012,1,1,2011,8,13,0,0,0,[4],0.0,,es_899,4.0
3082,3082,1,5313,SISTEMA DE CONTROL AUTOMATICO 1,MCT-PLS09 ,6,1,2012,1,1,2012,18,26,0,0,0,[5],1.0,,es_900,5.0
3084,3084,1,5313,SISTEMA DE CONTROL AUTOMATICO 1,MCT-PLS09 ,6,1,2012,1,1,2012,21,27,0,0,0,[5],1.0,,es_583,5.0
3088,3088,1,5313,SISTEMA DE CONTROL AUTOMATICO 1,MCT-PLS09 ,6,1,2012,1,0,2012,8,26,0,0,0,[0],1.0,,es_599,0.0
3103,3103,1,5313,SISTEMA DE CONTROL AUTOMATICO 1,MCT-PLS09 ,6,1,2012,1,0,0,6,12,0,0,0,[0],1.0,,es_901,0.0
3311,3311,1,5324,INTRODUCCION A LA INVESTIGACION,MCT-PLS09 ,6,1,2012,1,0,0,10,18,0,0,0,[0],0.0,,es_892,0.0
3317,3317,1,5324,INTRODUCCION A LA INVESTIGACION,MCT-PLS09 ,6,1,2012,1,0,0,9,0,0,0,0,[0],0.0,,es_495,0.0
3329,3329,1,5324,INTRODUCCION A LA INVESTIGACION,MCT-PLS09 ,6,1,2012,1,0,0,0,0,0,0,0,[0],0.0,,es_905,0.0
3330,3330,1,5324,INTRODUCCION A LA INVESTIGACION,MCT-PLS09 ,6,1,2012,1,1,2011,0,0,0,0,0,[5],0.0,,es_906,5.0
3332,3332,1,5324,INTRODUCCION A LA INVESTIGACION,MCT-PLS09 ,6,1,2012,1,1,2012,20,26,0,0,0,[5],1.0,,es_898,5.0
3336,3336,1,5324,INTRODUCCION A LA INVESTIGACION,MCT-PLS09 ,6,1,2012,1,0,0,0,0,0,0,0,[0],0.0,,es_524,0.0
3352,3352,1,5324,INTRODUCCION A LA INVESTIGACION,MCT-PLS09 ,6,1,2012,1,1,2012,9,16,0,40,0,[4],1.0,,es_115,4.0
3354,3354,1,5324,INTRODUCCION A LA INVESTIGACION,MCT-PLS09 ,6,1,2012,1,0,0,14,0,0,0,0,[0],1.0,,es_900,0.0
3356,3356,1,5324,INTRODUCCION A LA INVESTIGACION,MCT-PLS09 ,6,1,2012,1,1,2011,12,25,0,53,0,[5],1.0,,es_583,5.0
3357,3357,1,5324,INTRODUCCION A LA INVESTIGACION,MCT-PLS09 ,6,1,2012,1,1,2012,20,27,0,0,0,[3],1.0,,es_907,3.0
3362,3362,1,5324,INTRODUCCION A LA INVESTIGACION,MCT-PLS09 ,6,1,2012,1,0,2012,10,18,0,0,0,[0],1.0,,es_599,0.0
3374,3374,1,5324,INTRODUCCION A LA INVESTIGACION,MCT-PLS09 ,6,1,2012,1,0,0,0,0,0,0,0,[0],0.0,,es_629,0.0
3378,3378,1,5324,INTRODUCCION A LA INVESTIGACION,MCT-PLS09 ,6,1,2012,1,1,2012,9,23,0,0,0,[2],1.0,,es_909,2.0
