,Unnamed: 0,danho,ciclo,Cod.Asign,Asignatura,Cod.Car.Sec,Cod.Curso,Convocatoria,Anho,Semestre,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Primer.Rec,Segundo.Rec,Nota.Final,Tercer.Par,Asis,Cuarto.Par,4P_60,id_anony
4429,4429,2012,1,5512,SENSORES REMOTOS 2,CGF-175-09,6,1,2012,1,S,2012,14,29,10,0,0,1F-3,0.0,1.0,,,es_1048
4430,4430,2012,1,5512,SENSORES REMOTOS 2,CGF-175-09,6,1,2012,1,S,2012,10,29,10,0,0,1F-3,0.0,1.0,,,es_1049
4431,4431,2012,1,5512,SENSORES REMOTOS 2,CGF-175-09,6,1,2012,1,S,2012,0,0,0,0,0,"1F-1,2F-3",0.0,0.0,,,es_169
4432,4432,2012,1,5512,SENSORES REMOTOS 2,CGF-175-09,6,1,2012,1,S,2012,21,29,10,0,0,1F-5,0.0,1.0,,,es_170
4433,4433,2012,1,5513,GEODESIA GEOMETRICA,CGF-PLS09 ,6,1,2012,1,N,0,0,18,0,0,0,,0.0,1.0,,,es_414
4434,4434,2012,1,5513,GEODESIA GEOMETRICA,CGF-PLS09 ,6,1,2012,1,S,2012,31,29,0,0,0,3F-4,0.0,1.0,,,es_824
4435,4435,2012,1,5513,GEODESIA GEOMETRICA,CGF-PLS09 ,6,1,2012,1,S,2012,31,29,0,0,0,1F-5,0.0,1.0,,,es_1050
4436,4436,2012,1,5514,SOCIOLOGIA,CGF-PLS09 ,6,1,2012,1,S,2012,22,22,0,0,0,1F-5,0.0,1.0,,,es_828
4437,4437,2012,1,5514,SOCIOLOGIA,CGF-PLS09 ,6,1,2012,1,S,2012,12,21,0,0,0,1F-4,0.0,1.0,,,es_1051
4438,4438,2012,1,5514,SOCIOLOGIA,CGF-PLS09 ,6,1,2012,1,N,2012,12,19,0,0,0,,0.0,1.0,,,es_413
4439,4439,2012,1,5516,HIDROLOGIA GENERAL E HIDRAULICA,CGF-175-09,6,1,2012,1,S,2012,15,33,0,0,0,1F-5,0.0,1.0,,,es_1048
4440,4440,2012,1,5516,HIDROLOGIA GENERAL E HIDRAULICA,CGF-PLS09 ,6,1,2012,1,N,0,11,0,10,0,0,,0.0,1.0,,,es_255
4441,4441,2012,1,5516,HIDROLOGIA GENERAL E HIDRAULICA,CGF-175-09,6,1,2012,1,S,2012,9,28,0,0,0,2F-2,0.0,1.0,,,es_1049
4442,4442,2012,1,5516,HIDROLOGIA GENERAL E HIDRAULICA,CGF-PLS09 ,6,1,2012,1,N,2012,16,28,10,0,0,,0.0,1.0,,,es_824
4443,4443,2012,1,5516,HIDROLOGIA GENERAL E HIDRAULICA,CGF-PLS09 ,6,1,2012,1,S,2012,20,26,10,0,0,1F-5,0.0,1.0,,,es_365
4444,4444,2012,1,5517,CARTOGRAFIA 2,CGF-PLS09 ,6,1,2012,1,S,2012,20,41,0,0,0,2F-5,0.0,1.0,,,es_824
4445,4445,2012,1,5517,CARTOGRAFIA 2,CGF-PLS09 ,6,1,2012,1,S,2012,25,39,0,0,0,1F-5,0.0,1.0,,,es_1050
4446,4446,2012,1,5523,LEVANTAMIENTO REGIONALES Y CATASTRALES,CGF-PLS09 ,8,1,2012,1,S,2012,15,32,0,0,0,"1F-1,3F-5",0.0,1.0,,,es_1052
4447,4447,2012,1,5524,ASTRONOMIA,CGF-175-09,8,1,2012,1,S,2012,18,35,0,0,0,1F-4,0.0,1.0,,,es_1048
4448,4448,2012,1,5524,ASTRONOMIA,CGF-175-09,8,1,2012,1,S,2012,21,35,0,0,0,1F-5,0.0,1.0,,,es_1049
4449,4449,2012,1,5524,ASTRONOMIA,CGF-175-09,8,1,2012,1,S,2012,18,33,0,0,0,1F-4,0.0,1.0,,,es_170
4450,4450,2012,1,5525,GEOMORFOLOGIA,CGF-PLS09 ,8,1,2012,1,N,0,16,0,0,0,0,,0.0,1.0,,,es_1053
4451,4451,2012,1,5525,GEOMORFOLOGIA,CGF-PLS09 ,8,1,2012,1,N,0,11,0,0,0,0,,0.0,0.0,,,es_414
4452,4452,2012,1,5527,GEODESIA GRAVIMETRICA,CGF-PLS09 ,8,1,2012,1,S,2012,25,35,9,0,0,2F-5,0.0,1.0,,,es_1054
4453,4453,2012,1,5527,GEODESIA GRAVIMETRICA,CGF-PLS09 ,8,1,2012,1,S,2012,20,35,7,0,0,3F-5,0.0,1.0,,,es_1053
4454,4454,2012,1,5527,GEODESIA GRAVIMETRICA,CGF-PLS09 ,8,1,2012,1,S,2012,25,35,9,0,0,2F-5,0.0,1.0,,,es_1045
