,Unnamed: 0,danho,ciclo,Cod.Asign,Asignatura,Cod.Car.Sec,Cod.Curso,Convocatoria,Anho,Semestre,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Primer.Rec,Segundo.Rec,Nota.Final,Tercer.Par,Asis,Cuarto.Par,4P_60,id_anony
1,1,2012,1,2402,COMBUSTION,MEC9-OPT  ,13,1,2012,1,S,2012,11,14,8,0,0,1F-5,0.0,1.0,,,es_1
3,3,2012,1,2402,COMBUSTION,MEC9-OPT  ,13,1,2012,1,S,2012,11,14,8,0,0,"1F-1,2F-2",0.0,1.0,,,es_3
4,4,2012,1,2402,COMBUSTION,MEC9-OPT  ,13,1,2012,1,N,0,11,4,8,0,0,,0.0,1.0,,,es_4
12,12,2012,1,2402,COMBUSTION,MEC9-OPT  ,13,1,2012,1,S,2012,17,26,9,0,0,1F-4,0.0,1.0,,,es_12
16,16,2012,1,2402,COMBUSTION,MEC9-OPT  ,13,1,2012,1,S,2012,20,23,9,0,0,1F-4,0.0,1.0,,,es_16
20,20,2012,1,2402,COMBUSTION,MEC9-OPT  ,13,1,2012,1,S,2012,14,24,0,0,0,1F-4,0.0,1.0,,,es_20
26,26,2012,1,2403,INTRODUCCION A LA SIMULACION,MEC9-OPT  ,13,1,2012,1,S,2012,10,23,7,0,0,"1F-1,2F-3",0.0,1.0,,,es_1
27,27,2012,1,2403,INTRODUCCION A LA SIMULACION,MEC9-OPT  ,13,1,2012,1,N,2012,12,19,7,0,0,"1F-1,2F-1",0.0,1.0,,,es_3
41,41,2012,1,2403,INTRODUCCION A LA SIMULACION,MEC9-OPT  ,13,1,2012,1,N,0,0,0,0,0,0,,0.0,1.0,,,es_38
42,42,2012,1,2403,INTRODUCCION A LA SIMULACION,MEC9-OPT  ,13,1,2012,1,S,2012,18,33,8,0,0,1F-5,0.0,1.0,,,es_12
55,55,2012,1,2403,INTRODUCCION A LA SIMULACION,MEC9-OPT  ,13,1,2012,1,N,0,0,0,0,0,0,,0.0,0.0,,,es_48
71,71,2012,1,2404,INGENIERIA DE MANTENIMIENTO,MEC9-OPT  ,13,1,2012,1,S,2012,11,14,0,0,0,"1F-1,2F-2",0.0,1.0,,,es_1
72,72,2012,1,2404,INGENIERIA DE MANTENIMIENTO,MEC9-OPT  ,13,1,2012,1,S,2012,14,11,0,0,0,"1F-1,2F-2",0.0,1.0,,,es_63
73,73,2012,1,2404,INGENIERIA DE MANTENIMIENTO,MEC9-OPT  ,13,1,2012,1,N,0,10,11,0,0,0,,0.0,1.0,,,es_4
74,74,2012,1,2404,INGENIERIA DE MANTENIMIENTO,MEC9-OPT  ,13,1,2012,1,N,0,12,0,0,0,0,,0.0,1.0,,,es_64
75,75,2012,1,2404,INGENIERIA DE MANTENIMIENTO,MEC9-OPT  ,13,1,2012,1,N,2012,19,23,0,0,0,,0.0,1.0,,,es_65
76,76,2012,1,2404,INGENIERIA DE MANTENIMIENTO,MEC9-OPT  ,13,1,2012,1,N,0,1,0,0,0,0,,0.0,1.0,,,es_38
77,77,2012,1,2404,INGENIERIA DE MANTENIMIENTO,MEC9-OPT  ,13,1,2012,1,S,2012,13,19,0,0,0,"1F-1,2F-3",0.0,1.0,,,es_12
78,78,2012,1,2404,INGENIERIA DE MANTENIMIENTO,MEC9-OPT  ,13,1,2012,1,N,0,0,0,0,0,0,,0.0,1.0,,,es_66
79,79,2012,1,2404,INGENIERIA DE MANTENIMIENTO,MEC9-OPT  ,13,1,2012,1,N,2012,10,16,0,0,0,,0.0,1.0,,,es_16
80,80,2012,1,2404,INGENIERIA DE MANTENIMIENTO,MEC9-OPT  ,13,1,2012,1,S,2012,17,20,0,0,0,"1F-1,2F-4",0.0,1.0,,,es_67
82,82,2012,1,2405,EFICIENCIA ENERGETICA,MEC9-OPT  ,13,1,2012,1,S,2012,26,29,0,0,0,1F-5,0.0,1.0,,,es_1
83,83,2012,1,2405,EFICIENCIA ENERGETICA,MEC9-OPT  ,13,1,2012,1,S,2012,30,25,0,0,0,1F-5,0.0,1.0,,,es_69
84,84,2012,1,2405,EFICIENCIA ENERGETICA,MEC9-OPT  ,13,1,2012,1,S,2012,30,24,0,0,0,1F-5,0.0,1.0,,,es_63
85,85,2012,1,2405,EFICIENCIA ENERGETICA,MEC9-OPT  ,13,1,2012,1,S,2012,20,25,0,0,0,1F-4,0.0,1.0,,,es_4
90,90,2012,1,2405,EFICIENCIA ENERGETICA,MEC9-OPT  ,13,1,2012,1,S,2012,27,29,0,0,0,1F-5,0.0,1.0,,,es_64
101,101,2012,1,2405,EFICIENCIA ENERGETICA,MEC9-OPT  ,13,1,2012,1,S,2012,26,0,0,51,0,2F-5,0.0,1.0,,,es_65
104,104,2012,1,2405,EFICIENCIA ENERGETICA,MEC9-OPT  ,13,1,2012,1,N,0,21,0,0,0,0,,0.0,0.0,,,es_38
105,105,2012,1,2405,EFICIENCIA ENERGETICA,MEC9-OPT  ,13,1,2012,1,S,2012,26,26,0,0,0,1F-5,0.0,1.0,,,es_12
111,111,2012,1,2405,EFICIENCIA ENERGETICA,MEC9-OPT  ,13,1,2012,1,N,0,27,0,0,0,0,,0.0,0.0,,,es_66
120,120,2012,1,2405,EFICIENCIA ENERGETICA,MEC9-OPT  ,13,1,2012,1,S,2012,26,23,0,0,0,1F-5,0.0,1.0,,,es_67
238,238,2012,1,2736,MECANICA DE FLUIDOS AVANZADOS,MEC9-OPT  ,13,1,2012,1,N,2012,15,16,0,0,0,"1F-1,2F-1",0.0,1.0,,,es_1
240,240,2012,1,2736,MECANICA DE FLUIDOS AVANZADOS,MEC9-OPT  ,13,1,2012,1,S,2012,12,20,0,0,0,2F-2,0.0,1.0,,,es_69
241,241,2012,1,2736,MECANICA DE FLUIDOS AVANZADOS,MEC9-OPT  ,13,1,2012,1,S,2012,15,14,0,0,0,1F-2,0.0,1.0,,,es_63
244,244,2012,1,2736,MECANICA DE FLUIDOS AVANZADOS,MEC9-OPT  ,13,1,2012,1,S,2012,19,21,0,0,0,1F-4,0.0,1.0,,,es_64
249,249,2012,1,2736,MECANICA DE FLUIDOS AVANZADOS,MEC9-OPT  ,13,1,2012,1,S,2012,15,20,0,0,0,2F-2,0.0,1.0,,,es_12
254,254,2012,1,2736,MECANICA DE FLUIDOS AVANZADOS,MEC9-OPT  ,13,1,2012,1,S,2012,20,24,0,0,0,2F-5,0.0,1.0,,,es_67
259,259,2012,1,2737,INTRODUCCION A LA FISICA ATOMICA Y MOLECULAR,MEC9-OPT  ,13,1,2012,1,N,0,0,0,0,0,0,,0.0,0.0,,,es_69
273,273,2012,1,2737,INTRODUCCION A LA FISICA ATOMICA Y MOLECULAR,MEC9-OPT  ,13,1,2012,1,N,0,0,0,0,0,0,,0.0,1.0,,,es_67
4555,4555,2012,1,5607,ELEMENTOS DE MAQUINAS,MEC-PLS09 ,6,1,2012,1,N,0,0,0,0,0,0,,0.0,0.0,,,es_1060
4556,4556,2012,1,5607,ELEMENTOS DE MAQUINAS,MEC-PLS09 ,6,1,2012,1,S,2012,10,28,0,0,0,1F-4,0.0,1.0,,,es_69
4557,4557,2012,1,5607,ELEMENTOS DE MAQUINAS,MEC-PLS09 ,6,1,2012,1,S,2012,7,23,0,0,0,3F-3,0.0,1.0,,,es_63
4558,4558,2012,1,5607,ELEMENTOS DE MAQUINAS,MEC-PLS09 ,6,1,2012,1,S,2011,0,0,0,0,0,3F-3,0.0,0.0,,,es_3
4562,4562,2012,1,5607,ELEMENTOS DE MAQUINAS,MEC-PLS09 ,6,1,2012,1,N,0,0,0,0,0,0,,0.0,1.0,,,es_38
4563,4563,2012,1,5607,ELEMENTOS DE MAQUINAS,MEC-PLS09 ,6,1,2012,1,S,2012,14,23,0,0,0,"1F-1,2F-3",0.0,1.0,,,es_12
4566,4566,2012,1,5607,ELEMENTOS DE MAQUINAS,MEC-PLS09 ,6,1,2012,1,N,2011,0,0,0,0,0,,0.0,0.0,,,es_48
