,ciclo,Asignatura,Convocatoria,Anho,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Nota.Final,id_anony,Nota.Prom
4429,1,SENSORES REMOTOS 2,1,2012,1,2012,14,29,10,[3],es_1048,3.0
4430,1,SENSORES REMOTOS 2,1,2012,1,2012,10,29,10,[3],es_1049,3.0
4431,1,SENSORES REMOTOS 2,1,2012,1,2012,0,0,0,"[1, 3]",es_169,2.0
4432,1,SENSORES REMOTOS 2,1,2012,1,2012,21,29,10,[5],es_170,5.0
4433,1,GEODESIA GEOMETRICA,1,2012,0,0,0,18,0,[0],es_414,0.0
4434,1,GEODESIA GEOMETRICA,1,2012,1,2012,31,29,0,[4],es_824,4.0
4435,1,GEODESIA GEOMETRICA,1,2012,1,2012,31,29,0,[5],es_1050,5.0
4436,1,SOCIOLOGIA,1,2012,1,2012,22,22,0,[5],es_828,5.0
4437,1,SOCIOLOGIA,1,2012,1,2012,12,21,0,[4],es_1051,4.0
4438,1,SOCIOLOGIA,1,2012,0,2012,12,19,0,[0],es_413,0.0
4439,1,HIDROLOGIA GENERAL E HIDRAULICA,1,2012,1,2012,15,33,0,[5],es_1048,5.0
4440,1,HIDROLOGIA GENERAL E HIDRAULICA,1,2012,0,0,11,0,10,[0],es_255,0.0
4441,1,HIDROLOGIA GENERAL E HIDRAULICA,1,2012,1,2012,9,28,0,[2],es_1049,2.0
4442,1,HIDROLOGIA GENERAL E HIDRAULICA,1,2012,0,2012,16,28,10,[0],es_824,0.0
4443,1,HIDROLOGIA GENERAL E HIDRAULICA,1,2012,1,2012,20,26,10,[5],es_365,5.0
4444,1,CARTOGRAFIA 2,1,2012,1,2012,20,41,0,[5],es_824,5.0
4445,1,CARTOGRAFIA 2,1,2012,1,2012,25,39,0,[5],es_1050,5.0
4446,1,LEVANTAMIENTO REGIONALES Y CATASTRALES,1,2012,1,2012,15,32,0,"[1, 5]",es_1052,3.0
4447,1,ASTRONOMIA,1,2012,1,2012,18,35,0,[4],es_1048,4.0
4448,1,ASTRONOMIA,1,2012,1,2012,21,35,0,[5],es_1049,5.0
4449,1,ASTRONOMIA,1,2012,1,2012,18,33,0,[4],es_170,4.0
4450,1,GEOMORFOLOGIA,1,2012,0,0,16,0,0,[0],es_1053,0.0
4451,1,GEOMORFOLOGIA,1,2012,0,0,11,0,0,[0],es_414,0.0
4452,1,GEODESIA GRAVIMETRICA,1,2012,1,2012,25,35,9,[5],es_1054,5.0
4453,1,GEODESIA GRAVIMETRICA,1,2012,1,2012,20,35,7,[5],es_1053,5.0
4454,1,GEODESIA GRAVIMETRICA,1,2012,1,2012,25,35,9,[5],es_1045,5.0
4455,1,GEODESIA GRAVIMETRICA,1,2012,0,0,0,0,0,[0],es_1055,0.0
4456,1,GEODESIA GRAVIMETRICA,1,2012,1,2012,0,0,0,[4],es_1046,4.0
4457,1,GEODESIA GRAVIMETRICA,1,2012,1,2012,25,33,5,[5],es_1047,5.0
4458,1,GEODESIA GRAVIMETRICA,1,2012,1,2012,15,35,4,[5],es_579,5.0
4459,1,GEODESIA GRAVIMETRICA,1,2012,1,2012,25,33,4,[5],es_1050,5.0
4460,1,GEODESIA GRAVIMETRICA,1,2012,1,2012,25,35,9,[4],es_443,4.0
4461,1,CONTABILIDAD Y ADM. FINANCIERA,1,2012,0,0,14,15,4,[0],es_1056,0.0
4462,1,EVALUACION Y GESTION AMBIENTAL,1,2012,0,2012,0,0,0,[0],es_411,0.0
4463,1,EVALUACION Y GESTION AMBIENTAL,1,2012,0,2012,0,0,0,[0],es_413,0.0
4464,1,VIAS DE COMUNICACION,1,2012,0,2012,13,18,4,[1],es_1053,1.0
4465,1,VIAS DE COMUNICACION,1,2012,1,2012,15,26,4,[3],es_824,3.0
4466,1,VIAS DE COMUNICACION,1,2012,1,2012,20,20,4,[3],es_1057,3.0
4467,1,VIAS DE COMUNICACION,1,2012,0,2012,15,21,0,[0],es_172,0.0
4468,1,VIAS DE COMUNICACION,1,2012,0,0,17,11,0,[0],es_171,0.0
4469,1,AVALUO Y TASACION,1,2012,0,2012,11,17,7,[0],es_822,0.0
4470,1,AVALUO Y TASACION,1,2012,0,2012,7,22,6,[1],es_1048,1.0
4473,1,AVALUO Y TASACION,1,2012,0,0,0,0,0,[0],es_1056,0.0
4479,1,AVALUO Y TASACION,1,2012,0,0,9,23,10,[0],es_413,0.0
4486,1,AVALUO Y TASACION,1,2012,0,0,7,0,0,[0],es_172,0.0
4492,1,AVALUO Y TASACION,1,2012,0,0,12,0,0,[0],es_171,0.0
4499,1,ADMINISTRACION DE EMPRESAS,1,2012,1,2011,0,0,0,[3],es_411,3.0
4500,1,ADMINISTRACION DE EMPRESAS,1,2012,0,2012,21,21,2,[0],es_123,0.0
4501,1,ADMINISTRACION DE EMPRESAS,1,2012,0,0,0,0,0,[0],es_579,0.0
4502,1,POLITICA Y LEGISLACION PROFESIONAL,1,2012,1,2012,26,20,0,[2],es_1051,2.0
4503,1,POLITICA Y LEGISLACION PROFESIONAL,1,2012,1,2012,13,22,0,[4],es_822,4.0
4504,1,POLITICA Y LEGISLACION PROFESIONAL,1,2012,0,0,2,0,0,[0],es_255,0.0
4505,1,POLITICA Y LEGISLACION PROFESIONAL,1,2012,0,0,0,0,0,[0],es_411,0.0
4506,1,POLITICA Y LEGISLACION PROFESIONAL,1,2012,0,2012,23,18,0,[1],es_1054,1.0
4507,1,POLITICA Y LEGISLACION PROFESIONAL,1,2012,0,2012,28,17,0,[0],es_1053,0.0
4508,1,POLITICA Y LEGISLACION PROFESIONAL,1,2012,0,2012,32,26,0,[0],es_413,0.0
4509,1,POLITICA Y LEGISLACION PROFESIONAL,1,2012,0,2012,14,18,0,[0],es_1045,0.0
4510,1,POLITICA Y LEGISLACION PROFESIONAL,1,2012,1,2012,29,29,0,[4],es_824,4.0
4511,1,POLITICA Y LEGISLACION PROFESIONAL,1,2012,0,2012,16,19,0,[0],es_1057,0.0
4512,1,POLITICA Y LEGISLACION PROFESIONAL,1,2012,0,0,0,0,0,[0],es_172,0.0
4513,1,POLITICA Y LEGISLACION PROFESIONAL,1,2012,0,0,13,20,0,[0],es_1047,0.0
4514,1,POLITICA Y LEGISLACION PROFESIONAL,1,2012,0,0,0,0,0,[0],es_579,0.0
4515,1,POLITICA Y LEGISLACION PROFESIONAL,1,2012,0,0,7,17,0,[0],es_443,0.0
4516,1,POLITICA Y LEGISLACION PROFESIONAL,1,2012,0,0,0,0,0,[0],es_171,0.0
4517,1,POLITICA Y LEGISLACION PROFESIONAL,1,2012,0,2012,19,18,0,[0],es_365,0.0
4518,1,POLITICA Y LEGISLACION PROFESIONAL,1,2012,0,0,0,0,0,[0],es_1059,0.0
5615,2,TOPOGRAFIA 2,1,2012,0,0,14,8,2,[0],es_255,0.0
5616,2,TOPOGRAFIA 2,1,2012,0,2012,15,12,10,[0],es_414,0.0
5617,2,TOPOGRAFIA 2,1,2012,0,0,15,8,2,[0],es_1045,0.0
5618,2,TOPOGRAFIA 2,1,2012,0,2012,14,19,2,[1],es_829,1.0
5619,2,TOPOGRAFIA 2,1,2012,1,2012,16,21,10,[4],es_1046,4.0
5620,2,TOPOGRAFIA 2,1,2012,0,2012,13,20,2,[0],es_1047,0.0
5621,2,TOPOGRAFIA 2,1,2012,0,0,0,8,2,[0],es_579,0.0
5622,2,TOPOGRAFIA 2,1,2012,1,2012,19,23,10,[5],es_443,5.0
5623,2,TOPOGRAFIA 2,1,2012,0,2012,17,23,10,[0],es_365,0.0
5624,2,SENSORES REMOTOS 1,1,2012,1,2012,21,24,10,[3],es_1048,3.0
5625,2,SENSORES REMOTOS 1,1,2012,0,0,0,0,0,[0],es_1500,0.0
5626,2,SENSORES REMOTOS 1,1,2012,1,2012,17,30,10,[5],es_1501,5.0
5627,2,SENSORES REMOTOS 1,1,2012,1,2012,7,31,10,[3],es_255,3.0
5628,2,SENSORES REMOTOS 1,1,2012,1,2012,22,22,10,[5],es_1049,5.0
5629,2,SENSORES REMOTOS 1,1,2012,1,2012,22,26,10,[5],es_1046,5.0
5630,2,SENSORES REMOTOS 1,1,2012,1,2012,18,27,5,[5],es_365,5.0
5631,2,SENSORES REMOTOS 1,1,2012,1,2012,11,25,10,[3],es_253,3.0
5632,2,GEOLOGIA DEL PARAGUAY,1,2012,1,2012,22,34,10,[5],es_255,5.0
5633,2,GEOLOGIA DEL PARAGUAY,1,2012,1,2012,17,34,10,[5],es_1054,5.0
5634,2,GEOLOGIA DEL PARAGUAY,1,2012,1,2012,23,31,10,[5],es_1045,5.0
