,ciclo,Asignatura,Convocatoria,Anho,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Nota.Final,id_anony,Nota.Prom
1567,1,GEOTECNIA 2,1,2012,0,0,8,8,10,[0],es_789,0.0
1568,1,GEOTECNIA 2,1,2012,1,2012,9,11,10,[3],es_409,3.0
1569,1,GEOTECNIA 2,1,2012,0,0,7,0,10,[0],es_256,0.0
1570,1,GEOTECNIA 2,1,2012,1,2011,9,0,0,[2],es_257,2.0
1571,1,GEOTECNIA 2,1,2012,1,2012,12,12,10,[2],es_260,2.0
1572,1,GEOTECNIA 2,1,2012,0,2012,11,12,10,[0],es_156,0.0
1573,1,GEOTECNIA 2,1,2012,1,2012,11,12,10,[5],es_261,5.0
1574,1,GEOTECNIA 2,1,2012,1,2012,11,11,10,[5],es_157,5.0
1575,1,GEOTECNIA 2,1,2012,1,2012,12,13,10,[5],es_490,5.0
1576,1,GEOTECNIA 2,1,2012,1,2012,12,19,10,[3],es_491,3.0
1577,1,GEOTECNIA 2,1,2012,1,2012,13,21,10,[4],es_266,4.0
1578,1,GEOTECNIA 2,1,2012,1,2012,15,18,10,[3],es_496,3.0
1579,1,GEOTECNIA 2,1,2012,0,0,8,0,3,[0],es_267,0.0
1580,1,GEOTECNIA 2,1,2012,1,2012,9,11,10,[2],es_135,2.0
1581,1,GEOTECNIA 2,1,2012,1,2012,13,14,10,[4],es_790,4.0
1582,1,GEOTECNIA 2,1,2012,1,2012,10,16,10,[2],es_158,2.0
1583,1,GEOTECNIA 2,1,2012,1,2012,15,20,10,[5],es_791,5.0
1584,1,GEOTECNIA 2,1,2012,1,2012,9,14,10,[5],es_285,5.0
1585,1,GEOTECNIA 2,1,2012,0,0,8,0,6,[0],es_286,0.0
1586,1,GEOTECNIA 2,1,2012,1,2012,14,25,10,[5],es_138,5.0
1587,1,GEOTECNIA 2,1,2012,1,2012,13,22,10,[5],es_294,5.0
1588,1,GEOTECNIA 2,1,2012,1,2012,13,16,10,[5],es_159,5.0
1589,1,GEOTECNIA 2,1,2012,0,2011,0,0,0,"[1, 1]",es_160,1.0
1590,1,GEOTECNIA 2,1,2012,1,2012,7,18,10,[5],es_792,5.0
1591,1,GEOTECNIA 2,1,2012,1,2012,10,22,10,[5],es_793,5.0
1592,1,GEOTECNIA 2,1,2012,1,2012,12,17,10,[2],es_794,2.0
1593,1,GEOTECNIA 2,1,2012,0,0,4,7,10,[0],es_313,0.0
