,ciclo,Asignatura,Convocatoria,Anho,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Nota.Final,id_anony,Nota.Prom
303,1,FUNDAMENTOS DE MEDIO DE RED,1,2012,0,0,0,0,0,[0],es_184,0.0
304,1,FUNDAMENTOS DE MEDIO DE RED,1,2012,1,2012,17,34,0,[5],es_185,5.0
305,1,FUNDAMENTOS DE MEDIO DE RED,1,2012,1,2012,24,36,0,[5],es_186,5.0
306,1,FUNDAMENTOS DE MEDIO DE RED,1,2012,1,2012,14,36,0,[5],es_187,5.0
307,1,FUNDAMENTOS DE MEDIO DE RED,1,2012,1,2012,22,34,0,[5],es_188,5.0
309,1,FUNDAMENTOS DE MEDIO DE RED,1,2012,1,2012,24,36,0,[5],es_190,5.0
310,1,FUNDAMENTOS DE MEDIO DE RED,1,2012,1,2012,18,36,0,[5],es_191,5.0
311,1,FUNDAMENTOS DE MEDIO DE RED,1,2012,1,2012,11,30,0,[4],es_192,4.0
312,1,FUNDAMENTOS DE MEDIO DE RED,1,2012,1,2012,5,34,0,[4],es_193,4.0
313,1,FUNDAMENTOS DE MEDIO DE RED,1,2012,1,2012,10,34,0,[5],es_194,5.0
314,1,FUNDAMENTOS DE MEDIO DE RED,1,2012,1,2012,24,36,0,[5],es_195,5.0
315,1,FUNDAMENTOS DE MEDIO DE RED,1,2012,1,2012,19,34,0,[5],es_196,5.0
317,1,FUNDAMENTOS DE MEDIO DE RED,1,2012,0,0,0,0,0,[0],es_198,0.0
318,1,FUNDAMENTOS DE MEDIO DE RED,1,2012,0,0,12,34,0,[0],es_199,0.0
319,1,FUNDAMENTOS DE MEDIO DE RED,1,2012,1,2012,22,32,0,[5],es_200,5.0
321,1,FUNDAMENTOS DE MEDIO DE RED,1,2012,1,2012,17,32,0,[5],es_202,5.0
322,1,FUNDAMENTOS DE MEDIO DE RED,1,2012,1,2012,18,36,0,[5],es_203,5.0
323,1,FUNDAMENTOS DE MEDIO DE RED,1,2012,1,2012,20,36,0,[5],es_204,5.0
324,1,SIST.DE COMUNICACIONES CELULARES 1,1,2012,1,2012,23,36,0,[5],es_205,5.0
325,1,SIST.DE COMUNICACIONES CELULARES 1,1,2012,1,2012,22,36,0,[5],es_206,5.0
326,1,SIST.DE COMUNICACIONES CELULARES 1,1,2012,1,2012,18,36,0,[5],es_207,5.0
329,1,SIST.DE COMUNICACIONES CELULARES 1,1,2012,0,0,0,0,0,[0],es_210,0.0
330,1,SIST.DE COMUNICACIONES CELULARES 1,1,2012,0,0,22,36,0,[0],es_211,0.0
331,1,SIST.DE COMUNICACIONES CELULARES 1,1,2012,1,2012,22,36,0,[5],es_212,5.0
333,1,SIST.DE COMUNICACIONES CELULARES 1,1,2012,1,2012,22,36,0,[5],es_214,5.0
334,1,SIST.DE COMUNICACIONES CELULARES 1,1,2012,1,2012,23,36,0,[5],es_215,5.0
336,1,SIST.DE COMUNICACIONES CELULARES 1,1,2012,1,2012,22,36,0,[5],es_201,5.0
337,1,MICROELECTRONICA,1,2012,1,2012,22,28,8,[5],es_217,5.0
338,1,MICROELECTRONICA,1,2012,1,2012,23,29,10,[5],es_186,5.0
339,1,MICROELECTRONICA,1,2012,1,2012,23,33,9,[5],es_218,5.0
340,1,MICROELECTRONICA,1,2012,1,2012,23,28,10,[5],es_219,5.0
341,1,MICROELECTRONICA,1,2012,1,2012,21,29,9,[5],es_187,5.0
342,1,MICROELECTRONICA,1,2012,1,2012,21,29,9,[5],es_194,5.0
343,1,MICROELECTRONICA,1,2012,1,2012,21,28,10,[5],es_220,5.0
344,1,MICROELECTRONICA,1,2012,1,2012,22,32,8,[5],es_221,5.0
345,1,MICROELECTRONICA,1,2012,0,0,0,0,0,[0],es_222,0.0
346,1,MICROELECTRONICA,1,2012,1,2012,22,30,10,[5],es_223,5.0
347,1,MICROELECTRONICA,1,2012,1,2012,20,31,10,[5],es_224,5.0
348,1,MICROELECTRONICA,1,2012,0,2012,19,5,9,[0],es_225,0.0
349,1,MICROELECTRONICA,1,2012,1,2012,24,33,10,[5],es_226,5.0
350,1,MICROELECTRONICA,1,2012,1,2012,22,30,8,[5],es_227,5.0
351,1,MICROELECTRONICA,1,2012,0,2012,19,9,9,[0],es_228,0.0
352,1,MICROELECTRONICA,1,2012,1,2012,22,36,10,[5],es_229,5.0
353,1,MICROELECTRONICA,1,2012,1,2012,22,31,9,[5],es_230,5.0
354,1,INSTRUMENTACION Y MEDICIONES ELECTRICAS,1,2012,0,0,12,0,0,[0],es_206,0.0
356,1,INSTRUMENTACION Y MEDICIONES ELECTRICAS,1,2012,1,2012,22,25,0,[5],es_231,5.0
357,1,INSTRUMENTACION Y MEDICIONES ELECTRICAS,1,2012,1,2012,22,27,0,[5],es_232,5.0
358,1,INSTRUMENTACION Y MEDICIONES ELECTRICAS,1,2012,1,2012,17,25,0,[4],es_233,4.0
359,1,INSTRUMENTACION Y MEDICIONES ELECTRICAS,1,2012,1,2012,19,24,0,[5],es_234,5.0
360,1,INSTRUMENTACION Y MEDICIONES ELECTRICAS,1,2012,1,2012,24,36,0,[5],es_191,5.0
361,1,INSTRUMENTACION Y MEDICIONES ELECTRICAS,1,2012,0,0,9,0,0,[0],es_209,0.0
362,1,INSTRUMENTACION Y MEDICIONES ELECTRICAS,1,2012,1,2012,22,36,0,[5],es_194,5.0
363,1,INSTRUMENTACION Y MEDICIONES ELECTRICAS,1,2012,1,2012,22,27,0,[5],es_235,5.0
364,1,INSTRUMENTACION Y MEDICIONES ELECTRICAS,1,2012,1,2012,24,25,0,[5],es_198,5.0
366,1,INSTRUMENTACION Y MEDICIONES ELECTRICAS,1,2012,1,2012,23,18,0,[3],es_228,3.0
