,ciclo,Asignatura,Convocatoria,Anho,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Nota.Final,id_anony,Nota.Prom
2625,1,PASANTIAS,1,2012,0,0,0,0,0,[0],es_854,0.0
2626,1,PASANTIAS,1,2012,1,2012,0,0,0,[5],es_242,5.0
2627,1,PASANTIAS,1,2012,1,2012,0,0,0,[5],es_251,5.0
2628,1,PASANTIAS,1,2012,1,2012,0,0,0,[5],es_244,5.0
2629,1,PASANTIAS,1,2012,1,2012,0,0,0,[4],es_855,4.0
2630,1,PASANTIAS,1,2012,1,2012,0,0,0,[5],es_245,5.0
2631,1,PASANTIAS,1,2012,0,0,0,0,0,[0],es_851,0.0
2632,1,PASANTIAS,1,2012,1,2012,0,0,0,[5],es_856,5.0
2633,1,PASANTIAS,1,2012,0,0,0,0,0,[0],es_250,0.0
2634,1,PASANTIAS,1,2012,0,0,0,0,0,[0],es_852,0.0
2635,1,PASANTIAS,1,2012,0,0,0,0,0,[0],es_857,0.0
2636,1,PASANTIAS,1,2012,1,2012,0,0,0,[5],es_106,5.0
2637,1,PASANTIAS,1,2012,1,2012,0,0,0,[5],es_724,5.0
2638,1,PASANTIAS,1,2012,0,0,0,0,0,[0],es_252,0.0
4932,1,CONTABILIDAD FINANCIERA,1,2012,0,0,17,11,5,[0],es_1082,0.0
4933,1,CONTABILIDAD FINANCIERA,1,2012,0,0,13,0,4,[0],es_1083,0.0
4934,1,CONTABILIDAD FINANCIERA,1,2012,0,0,17,8,8,[0],es_689,0.0
4935,1,CONTABILIDAD FINANCIERA,1,2012,0,0,7,17,7,[0],es_269,0.0
4936,1,CONTABILIDAD FINANCIERA,1,2012,0,0,16,14,4,[0],es_1084,0.0
4937,1,CONTABILIDAD FINANCIERA,1,2012,0,2012,17,22,5,[0],es_277,0.0
4938,1,CONTABILIDAD FINANCIERA,1,2012,0,2012,12,6,8,[1],es_515,1.0
4939,1,CONTABILIDAD FINANCIERA,1,2012,0,2012,18,11,8,[1],es_1085,1.0
