,ciclo,Asignatura,Convocatoria,Anho,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Nota.Final,id_anony,Nota.Prom
0,1,COMBUSTION,1,2012,0,0,0,0,0,[0],es_0,0.0
2,1,COMBUSTION,1,2012,1,2012,24,23,9,[5],es_2,5.0
5,1,COMBUSTION,1,2012,1,2012,21,21,7,[4],es_5,4.0
6,1,COMBUSTION,1,2012,1,2012,5,31,9,[3],es_6,3.0
7,1,COMBUSTION,1,2012,1,2012,23,29,8,[5],es_7,5.0
8,1,COMBUSTION,1,2012,1,2012,21,26,8,[5],es_8,5.0
9,1,COMBUSTION,1,2012,1,2012,16,15,9,[3],es_9,3.0
10,1,COMBUSTION,1,2012,1,2012,14,27,8,[4],es_10,4.0
13,1,COMBUSTION,1,2012,1,2012,0,26,9,[5],es_13,5.0
14,1,COMBUSTION,1,2012,1,2012,17,18,6,[4],es_14,4.0
15,1,COMBUSTION,1,2012,1,2012,11,16,8,[2],es_15,2.0
17,1,COMBUSTION,1,2012,0,0,0,0,0,[0],es_17,0.0
18,1,COMBUSTION,1,2012,1,2012,11,17,8,[4],es_18,4.0
19,1,COMBUSTION,1,2012,1,2012,20,23,9,[5],es_19,5.0
21,1,COMBUSTION,1,2012,0,2012,5,21,7,[0],es_21,0.0
22,1,COMBUSTION,1,2012,1,2012,6,24,8,[3],es_22,3.0
23,1,COMBUSTION,1,2012,1,2012,15,26,7,[5],es_23,5.0
25,1,COMBUSTION,1,2012,0,0,0,0,0,[0],es_25,0.0
30,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,16,27,5,[4],es_28,4.0
33,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,14,28,9,[5],es_31,5.0
34,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,16,31,10,[5],es_32,5.0
36,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,23,28,10,[4],es_34,4.0
37,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,20,19,10,[3],es_35,3.0
38,1,INTRODUCCION A LA SIMULACION,1,2012,0,0,0,0,0,[0],es_11,0.0
39,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,20,25,9,[5],es_36,5.0
40,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,16,27,9,[4],es_37,4.0
43,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,11,26,8,[4],es_13,4.0
45,1,INTRODUCCION A LA SIMULACION,1,2012,0,2012,13,21,9,[1],es_15,1.0
46,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,18,31,9,[5],es_40,5.0
47,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,21,28,9,[5],es_41,5.0
48,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,21,32,10,[5],es_17,5.0
49,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,23,26,9,[5],es_42,5.0
52,1,INTRODUCCION A LA SIMULACION,1,2012,0,0,0,0,0,[0],es_45,0.0
53,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,21,28,10,[5],es_46,5.0
54,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,12,25,5,[2],es_47,2.0
56,1,INTRODUCCION A LA SIMULACION,1,2012,0,0,14,24,5,[0],es_49,0.0
59,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,24,31,10,[5],es_52,5.0
60,1,INTRODUCCION A LA SIMULACION,1,2012,0,0,0,0,0,[0],es_53,0.0
61,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,19,23,5,[3],es_54,3.0
62,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,19,26,10,[4],es_55,4.0
