,ciclo,Asignatura,Convocatoria,Anho,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Nota.Final,id_anony,Nota.Prom
28,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,22,29,5,[5],es_26,5.0
29,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,22,34,5,[5],es_27,5.0
31,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,7,31,5,[5],es_29,5.0
32,1,INTRODUCCION A LA SIMULACION,1,2012,0,2012,21,31,5,[0],es_30,0.0
35,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,16,30,5,[5],es_33,5.0
50,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,12,32,5,[5],es_43,5.0
51,1,INTRODUCCION A LA SIMULACION,1,2012,0,0,17,0,5,[0],es_44,0.0
58,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,9,31,5,[4],es_51,4.0
63,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,19,30,5,[5],es_56,5.0
3039,1,SISTEMA DE CONTROL AUTOMATICO 1,1,2012,1,2012,8,21,0,[5],es_892,5.0
3051,1,SISTEMA DE CONTROL AUTOMATICO 1,1,2012,1,2012,15,33,0,[5],es_894,5.0
3053,1,SISTEMA DE CONTROL AUTOMATICO 1,1,2012,0,0,8,7,0,[0],es_896,0.0
3058,1,SISTEMA DE CONTROL AUTOMATICO 1,1,2012,1,2012,8,29,0,[3],es_898,3.0
3070,1,SISTEMA DE CONTROL AUTOMATICO 1,1,2012,1,2011,8,13,0,[4],es_899,4.0
3082,1,SISTEMA DE CONTROL AUTOMATICO 1,1,2012,1,2012,18,26,0,[5],es_900,5.0
3084,1,SISTEMA DE CONTROL AUTOMATICO 1,1,2012,1,2012,21,27,0,[5],es_583,5.0
3088,1,SISTEMA DE CONTROL AUTOMATICO 1,1,2012,0,2012,8,26,0,[0],es_599,0.0
3103,1,SISTEMA DE CONTROL AUTOMATICO 1,1,2012,0,0,6,12,0,[0],es_901,0.0
3311,1,INTRODUCCION A LA INVESTIGACION,1,2012,0,0,10,18,0,[0],es_892,0.0
3317,1,INTRODUCCION A LA INVESTIGACION,1,2012,0,0,9,0,0,[0],es_495,0.0
3329,1,INTRODUCCION A LA INVESTIGACION,1,2012,0,0,0,0,0,[0],es_905,0.0
3330,1,INTRODUCCION A LA INVESTIGACION,1,2012,1,2011,0,0,0,[5],es_906,5.0
3332,1,INTRODUCCION A LA INVESTIGACION,1,2012,1,2012,20,26,0,[5],es_898,5.0
3336,1,INTRODUCCION A LA INVESTIGACION,1,2012,0,0,0,0,0,[0],es_524,0.0
3352,1,INTRODUCCION A LA INVESTIGACION,1,2012,1,2012,9,16,0,[4],es_115,4.0
3354,1,INTRODUCCION A LA INVESTIGACION,1,2012,0,0,14,0,0,[0],es_900,0.0
3356,1,INTRODUCCION A LA INVESTIGACION,1,2012,1,2011,12,25,0,[5],es_583,5.0
3357,1,INTRODUCCION A LA INVESTIGACION,1,2012,1,2012,20,27,0,[3],es_907,3.0
